id,likes,caption,imageURL,image_labels
CVKVKa5NsW9,48456,"Zara Studio Fall ‘21 Collection 
Art director: Fabien Baron @fabienbaron
Photographs: Gregory Harris @gstyles
Stylist: Karl Templer #KarlTempler
Hair: Benjamin Muller @benjaminmullerhair
Make-up: Lili Choi @lilichoimakeup
#zarastudio #zarakids @zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/246046303_212522354310909_7331902930890719331_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=yvX-ea0cxPUAX8V8Wfz&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=9981f07faa763bfd08df34245ac53ef1&oe=61990325&_nc_sid=83d603,"['Shoe', 'Leg', 'Black', 'Plant', 'People in nature', 'Black-and-white', 'Street fashion', 'Flash photography', 'Gesture', 'Style']"
CVI3PdJLB-z,11855,"Zara Studio Fall ‘21 Collection
Art Director: Fabien Baron @fabienbaron
Film director: Fabien Baron @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair: Guido Palau @guidopalau
Make-up: Rocco Santamorena @roccosantamorena
Actor: @nielsschneider
#zarastudio #zaraman @zaraman",https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/245826231_277312154287262_7733004248088649532_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=upJPYNc0EJcAX-eeThC&edm=AABBvjUBAAAA&ccb=7-4&oh=965372ab20071ff546f1985259cbc72c&oe=61942A06&_nc_sid=83d603,"['Sleeve', 'Gesture', 'Fixture', 'Tints and shades', 'Rectangle', 'Darkness', 'Event', 'Visual arts', 'Shadow', 'Backlighting']"
CVIXnfiN9Jj,34106,"Zara Studio Fall ‘21 Collection
Art Director: Fabien Baron @fabienbaron
Photographs: David Sims @davidsimsofficial 
Stylist: Karl Templer #KarlTempler
Hair: Guido Palau @guidopalau
Make-up: Rocco Santamorena @roccosantamorena
Actor: @arnaudvalois and @nielsschneider
#zarastudio #zaraman @zaraman",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/245990871_3277899695811999_5686149459290323758_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=n3zvHW8JW98AX8n43EF&edm=AABBvjUBAAAA&ccb=7-4&oh=62be37b5d1f7206acad6a9170cf422cd&oe=6198802F&_nc_sid=83d603,"['Footwear', 'Sleeve', 'Overcoat', 'Collar', 'Picture frame', 'Dress shirt', 'Knee', 'Blazer', 'Formal wear', 'Suit']"
CVH5znjtib6,12495,"Art Director: Fabien Baron @fabienbaron
Film director: Fabien Baron @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair: Guido Palau @guidopalau
Make-up: Rocco Santamorena @roccosantamorena
Actor: @arnaudvalois
#zarastudio #zaraman @zaraman",https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/245884680_936077310662112_2255828307060507264_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=HWXf0EAOItgAX_whq39&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=36db138f9ec878ef771b7ce392ee6cc9&oe=6193FA93&_nc_sid=83d603,"['Flash photography', 'Jaw', 'Beard', 'Eyelash', 'Facial hair', 'Darkness', 'Electric blue', 'Movie', 'Art', 'Eyewear']"
CVGPMTSjNmZ,17603,"Zara Studio Fall ‘21 Collection release 
Art Director: Fabien Baron @fabienbaron
Film: Fabien Baron @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair: Guido Palau @guidopalau
Make-up: Rocco Santamorena @roccosantamorena
Actor: Jorge Lopez @jorgelopez_as
#zarastudio #zaraman @zaraman",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/245850473_887785261865785_1559612727216281665_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=sxzx8tUQCZ0AX9xQ4SW&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=6e520c91d56a6332040c0fd2a74da723&oe=6193AFA6&_nc_sid=83d603,"['Hand', 'Flash photography', 'Gesture', 'Finger', 'Automotive mirror', 'Automotive design', 'Vehicle door', 'Automotive lighting', 'Steering wheel', 'Vehicle']"
CVFwaVXtmaM,31478,"Zara Studio Fall ‘21 Collection release 
Art Director: Fabien Baron @fabienbaron
Photographs: David Sims @davidsimsofficial
Stylist: Karl Templer #KarlTempler
Hair: Guido Palau @guidopalau
Make-up: Rocco Santamorena @roccosantamorena
Actor: Malachi Kirby @iammalachikirby and Jorge Lopez @jorgelopez_as
#zarastudio #zaraman @zaraman",https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/245829990_222158579914112_7179261740380483068_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=8hPtqUzNmrQAX9HUpNw&edm=AABBvjUBAAAA&ccb=7-4&oh=b09b5c3a142cb32cf264534f02de04de&oe=61987D5C&_nc_sid=83d603,"['Footwear', 'Shoe', 'Sleeve', 'Leather jacket', 'Jacket', 'Collar', 'Boot', 'Chair', 'Leather', 'Sitting']"
CVFN4AqFw45,12342,"Art Director: Fabien Baron @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair: Guido Palau @guidopalau
Make-up: Rocco Santamorena @roccosantamorena
Actor: Malachi Kirby @iammalachikirby
#zarastudio #zaraman @zaraman",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/245650219_4201070956685373_6157113206066099511_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=vGjawgtVxuYAX_mCqDZ&edm=AABBvjUBAAAA&ccb=7-4&oh=b16f6297d1d1cbd3e3067d8deeb8eae5&oe=61939DD4&_nc_sid=83d603,"['Window', 'Comfort', 'Cloud', 'Textile', 'Sleeve', 'Curtain', 'Wood', 'Material property', 'Tints and shades', 'Human leg']"
CVDn861N_A4,31085,"Zara Studio Fall ‘21 Collection release 
Art Director: Fabien Baron @fabienbaron
Photographs: Steven Meisel #stevenmeisel
Stylist: Karl Templer #karltempler
Hair: Guido Palau @guidopalau
Make-up: Pat McGrath @patmcgrathreal
Thank you @kirsten.owen @chiharuokunugi
#zarawoman #zarastudio",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/245876643_338921244668914_2557888026845408140_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=qyVTfnvKWXMAX_9tbr8&edm=AABBvjUBAAAA&ccb=7-4&oh=90306e407c6f131df04c1e3af70051ad&oe=6197C4C7&_nc_sid=83d603,"['Hair', 'Head', 'Lip', 'Hand', 'Arm', 'Shoulder', 'Eye', 'Neck', 'Human body', 'Flash photography']"
CVDJKXONnCx,46775,"Zara Studio Fall ‘21 Collection release 
Art Director: Fabien Baron @fabienbaron
Photographs: Steven Meisel #stevenmeisel
Stylist: Karl Templer #karltempler
Hair: Guido Palau @guidopalau
Make-up: Pat McGrath @patmcgrathreal
Thank you @raquel_zimmermann, @meadowwalker
#zarawoman #zarastudio",https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/245340460_6444817815559964_1141583021266642430_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=CHmPvK5OAxUAX8SJk1o&edm=AABBvjUBAAAA&ccb=7-4&oh=cd892402af57b12e503a240a46a99451&oe=619915D8&_nc_sid=83d603,"['Forehead', 'Nose', 'Lip', 'Chin', 'Eyebrow', 'Facial expression', 'Vertebrate', 'Mouth', 'Jaw', 'Neck']"
CVCjXeCNrMi,36127,"Zara Studio Fall ‘21 Collection 
Art Director: Fabien Baron @fabienbaron
Photographs: Steven Meisel #stevenmeisel
Stylist: Karl Templer #karltempler
Hair: Guido Palau @guidopalau
Make-up: Pat McGrath @patmcgrathreal
Thank you @_yumi_nu, @riannevanrompaey
#zarawoman #zarastudio",https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/243308330_552145522524919_1979819659816815304_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=J6Fy6FL82IgAX8bXCpk&edm=AABBvjUBAAAA&ccb=7-4&oh=ca75bba67ce4b137c0da4c39d8599e09&oe=6199057F&_nc_sid=83d603,"['Face', 'Lip', 'Dress', 'Tartan', 'Human', 'Fashion', 'Overcoat', 'Sleeve', 'Waist', 'Street fashion']"
